2Theta	Intensity
10.000	52.91
10.050	47.70
10.100	48.38
10.150	47.36
10.200	47.71
10.250	45.27
10.300	43.94
10.350	47.56
10.400	40.98
10.450	47.86
10.500	47.32
10.550	44.51
10.600	46.44
10.650	44.06
10.700	43.61
10.750	48.32
10.800	46.39
10.850	50.85
10.900	52.40
10.950	47.58
11.000	46.62
11.050	50.08
11.100	41.57
11.150	42.92
11.200	45.47
11.250	46.77
11.300	46.20
11.350	46.23
11.400	47.77
11.450	45.92
11.500	47.32
11.550	46.54
11.600	44.46
11.650	43.80
11.700	43.32
11.750	46.87
11.800	45.36
11.850	50.39
11.900	46.22
11.950	50.60
12.000	43.11
12.050	46.08
12.100	42.73
12.150	45.56
12.200	48.11
12.250	45.14
12.300	45.44
12.350	47.14
12.400	50.89
12.450	43.96
12.500	43.59
12.550	44.60
12.600	45.82
12.650	44.24
12.700	46.83
12.750	47.98
12.800	43.09
12.850	50.05
12.900	42.55
12.950	46.90
13.000	46.33
13.050	50.56
13.100	44.40
13.150	45.90
13.200	47.02
13.250	47.90
13.300	45.22
13.350	50.14
13.400	42.76
13.450	43.41
13.500	45.73
13.550	43.42
13.600	41.78
13.650	48.94
13.700	47.62
13.750	39.86
13.800	47.68
13.850	48.18
13.900	42.57
13.950	48.41
14.000	41.50
14.050	43.93
14.100	44.75
14.150	46.36
14.200	46.13
14.250	45.69
14.300	42.99
14.350	48.98
14.400	46.79
14.450	43.77
14.500	43.69
14.550	48.63
14.600	46.72
14.650	42.85
14.700	44.13
14.750	47.68
14.800	40.18
14.850	42.95
14.900	46.92
14.950	42.07
15.000	49.15
15.050	42.36
15.100	41.70
15.150	41.85
15.200	45.30
15.250	44.19
15.300	43.32
15.350	45.56
15.400	43.32
15.450	46.01
15.500	47.06
15.550	46.41
15.600	42.91
15.650	47.98
15.700	46.27
15.750	48.13
15.800	48.72
15.850	45.63
15.900	49.00
15.950	45.97
16.000	50.43
16.050	47.16
16.100	56.98
16.150	61.99
16.200	67.03
16.250	82.48
16.300	87.63
16.350	93.33
16.400	80.13
16.450	74.95
16.500	62.19
16.550	52.12
16.600	51.41
16.650	49.26
16.700	49.74
16.750	43.05
16.800	45.92
16.850	44.81
16.900	46.64
16.950	46.39
17.000	46.58
17.050	47.36
17.100	45.18
17.150	47.52
17.200	44.59
17.250	44.52
17.300	46.42
17.350	46.09
17.400	43.19
17.450	51.31
17.500	43.41
17.550	42.17
17.600	48.99
17.650	47.71
17.700	47.68
17.750	45.52
17.800	44.16
17.850	47.94
17.900	49.74
17.950	52.36
18.000	57.15
18.050	68.05
18.100	74.60
18.150	88.67
18.200	108.24
18.250	112.13
18.300	102.32
18.350	97.19
18.400	77.70
18.450	63.26
18.500	55.79
18.550	56.51
18.600	52.47
18.650	50.49
18.700	48.21
18.750	44.14
18.800	46.04
18.850	43.64
18.900	50.81
18.950	42.90
19.000	42.06
19.050	41.10
19.100	47.06
19.150	40.77
19.200	46.37
19.250	45.48
19.300	44.18
19.350	50.86
19.400	43.20
19.450	45.76
19.500	41.39
19.550	42.44
19.600	46.28
19.650	42.43
19.700	44.25
19.750	46.02
19.800	44.48
19.850	43.21
19.900	44.36
19.950	38.92
20.000	43.49
20.050	46.82
20.100	48.53
20.150	45.87
20.200	44.50
20.250	44.52
20.300	42.17
20.350	46.48
20.400	46.32
20.450	42.71
20.500	40.17
20.550	45.12
20.600	47.17
20.650	42.89
20.700	44.67
20.750	45.03
20.800	46.46
20.850	45.27
20.900	41.66
20.950	46.09
21.000	43.22
21.050	44.04
21.100	46.18
21.150	39.36
21.200	46.11
21.250	41.26
21.300	42.50
21.350	46.98
21.400	46.96
21.450	41.91
21.500	41.39
21.550	40.16
21.600	41.84
21.650	47.99
21.700	44.46
21.750	41.52
21.800	43.69
21.850	40.70
21.900	43.84
21.950	45.83
22.000	40.59
22.050	46.32
22.100	48.15
22.150	46.55
22.200	42.91
22.250	46.70
22.300	41.99
22.350	41.89
22.400	50.05
22.450	41.61
22.500	42.95
22.550	44.54
22.600	45.69
22.650	49.15
22.700	48.37
22.750	50.62
22.800	50.61
22.850	52.13
22.900	52.80
22.950	64.61
23.000	73.58
23.050	86.11
23.100	95.98
23.150	100.80
23.200	88.00
23.250	75.53
23.300	59.66
23.350	55.06
23.400	50.14
23.450	49.02
23.500	49.08
23.550	45.88
23.600	46.02
23.650	47.03
23.700	46.11
23.750	46.89
23.800	37.86
23.850	42.10
23.900	44.06
23.950	41.82
24.000	41.56
24.050	37.80
24.100	45.81
24.150	43.28
24.200	41.75
24.250	48.33
24.300	42.84
24.350	46.14
24.400	44.55
24.450	45.50
24.500	38.81
24.550	43.51
24.600	42.81
24.650	45.63
24.700	50.88
24.750	47.72
24.800	47.14
24.850	40.22
24.900	44.45
24.950	43.32
25.000	40.38
25.050	44.74
25.100	46.46
25.150	44.78
25.200	46.27
25.250	47.36
25.300	43.06
25.350	48.91
25.400	41.89
25.450	43.50
25.500	43.95
25.550	43.01
25.600	40.38
25.650	46.81
25.700	48.83
25.750	45.48
25.800	44.55
25.850	43.38
25.900	45.49
25.950	45.85
26.000	43.98
26.050	42.98
26.100	38.16
26.150	44.52
26.200	48.18
26.250	44.89
26.300	40.95
26.350	42.83
26.400	40.97
26.450	39.89
26.500	48.94
26.550	45.71
26.600	46.54
26.650	40.00
26.700	47.01
26.750	47.54
26.800	49.09
26.850	43.51
26.900	43.13
26.950	49.73
27.000	48.39
27.050	46.29
27.100	49.21
27.150	52.03
27.200	48.76
27.250	49.71
27.300	51.17
27.350	51.19
27.400	49.53
27.450	50.75
27.500	46.56
27.550	48.83
27.600	59.61
27.650	52.72
27.700	51.32
27.750	60.60
27.800	63.66
27.850	58.24
27.900	64.51
27.950	67.50
28.000	71.91
28.050	76.64
28.100	85.08
28.150	98.69
28.200	123.05
28.250	161.17
28.300	235.11
28.350	356.74
28.400	532.43
28.450	740.27
28.500	907.93
28.550	927.80
28.600	782.56
28.650	570.63
28.700	386.41
28.750	258.26
28.800	172.65
28.850	130.23
28.900	102.50
28.950	96.01
29.000	88.60
29.050	82.04
29.100	81.80
29.150	87.35
29.200	95.00
29.250	104.20
29.300	112.77
29.350	101.81
29.400	91.72
29.450	82.60
29.500	70.37
29.550	73.21
29.600	80.54
29.650	88.78
29.700	111.84
29.750	132.03
29.800	136.78
29.850	133.01
29.900	114.46
29.950	93.43
30.000	79.05
30.050	62.74
30.100	60.42
30.150	54.95
30.200	49.09
30.250	48.59
30.300	49.09
30.350	44.99
30.400	48.89
30.450	48.64
30.500	55.48
30.550	48.79
30.600	51.33
30.650	49.15
30.700	45.98
30.750	45.27
30.800	46.30
30.850	47.00
30.900	50.92
30.950	51.39
31.000	47.65
31.050	48.53
31.100	47.87
31.150	50.39
31.200	52.93
31.250	52.72
31.300	56.91
31.350	58.13
31.400	67.08
31.450	69.07
31.500	72.65
31.550	83.86
31.600	82.47
31.650	92.93
31.700	102.68
31.750	105.76
31.800	106.06
31.850	102.60
31.900	101.48
31.950	95.24
32.000	89.78
32.050	77.98
32.100	77.23
32.150	66.61
32.200	61.00
32.250	60.39
32.300	57.25
32.350	58.45
32.400	53.15
32.450	53.55
32.500	49.77
32.550	49.31
32.600	52.25
32.650	56.47
32.700	65.38
32.750	63.62
32.800	83.89
32.850	98.30
32.900	127.15
32.950	141.87
33.000	152.66
33.050	137.89
33.100	111.65
33.150	88.64
33.200	71.93
33.250	61.27
33.300	49.96
33.350	48.17
33.400	47.17
33.450	41.20
33.500	43.81
33.550	48.47
33.600	46.85
33.650	43.31
33.700	47.65
33.750	44.98
33.800	42.39
33.850	46.11
33.900	47.71
33.950	43.32
34.000	45.92
34.050	44.68
34.100	44.66
34.150	40.59
34.200	40.22
34.250	40.78
34.300	44.30
34.350	43.28
34.400	42.93
34.450	46.59
34.500	47.14
34.550	38.52
34.600	37.85
34.650	42.02
34.700	44.26
34.750	44.58
34.800	42.43
34.850	37.74
34.900	47.79
34.950	41.30
35.000	43.92
35.050	43.07
35.100	42.17
35.150	45.80
35.200	46.17
35.250	39.55
35.300	36.52
35.350	41.33
35.400	43.85
35.450	43.70
35.500	43.91
35.550	45.86
35.600	45.60
35.650	41.95
35.700	39.60
35.750	41.19
35.800	46.13
35.850	41.40
35.900	46.09
35.950	44.98
36.000	48.79
36.050	43.39
36.100	37.66
36.150	48.66
36.200	43.81
36.250	43.55
36.300	47.63
36.350	43.36
36.400	41.79
36.450	43.89
36.500	46.60
36.550	44.65
36.600	50.82
36.650	44.68
36.700	46.45
36.750	47.15
36.800	59.44
36.850	66.30
36.900	73.42
