2Theta	Intensity
10.000	44.47
10.050	46.01
10.100	45.94
10.150	49.72
10.200	48.02
10.250	47.42
10.300	45.25
10.350	48.53
10.400	48.58
10.450	46.57
10.500	44.47
10.550	46.70
10.600	42.08
10.650	48.96
10.700	40.46
10.750	49.27
10.800	43.40
10.850	44.08
10.900	44.64
10.950	47.81
11.000	44.46
11.050	48.33
11.100	48.94
11.150	48.58
11.200	43.06
11.250	49.45
11.300	44.21
11.350	51.82
11.400	44.56
11.450	39.49
11.500	48.64
11.550	45.09
11.600	42.62
11.650	42.83
11.700	50.39
11.750	45.13
11.800	44.63
11.850	46.17
11.900	46.98
11.950	42.30
12.000	46.31
12.050	43.49
12.100	45.52
12.150	45.83
12.200	54.71
12.250	49.11
12.300	53.67
12.350	44.73
12.400	48.31
12.450	46.19
12.500	49.79
12.550	39.74
12.600	41.65
12.650	40.62
12.700	47.91
12.750	43.09
12.800	46.34
12.850	46.35
12.900	44.64
12.950	47.99
13.000	44.78
13.050	48.21
13.100	43.52
13.150	46.67
13.200	47.18
13.250	40.94
13.300	45.73
13.350	44.39
13.400	43.10
13.450	52.20
13.500	47.77
13.550	48.41
13.600	50.48
13.650	47.22
13.700	43.69
13.750	49.34
13.800	42.49
13.850	41.80
13.900	46.20
13.950	47.14
14.000	43.25
14.050	43.96
14.100	43.13
14.150	46.47
14.200	45.10
14.250	43.97
14.300	44.89
14.350	48.14
14.400	44.87
14.450	44.74
14.500	44.20
14.550	49.47
14.600	46.68
14.650	48.52
14.700	46.03
14.750	40.78
14.800	44.00
14.850	45.63
14.900	48.60
14.950	38.47
15.000	47.09
15.050	48.41
15.100	42.36
15.150	41.02
15.200	54.01
15.250	45.19
15.300	43.31
15.350	45.71
15.400	48.16
15.450	43.37
15.500	49.35
15.550	40.95
15.600	45.34
15.650	45.90
15.700	50.10
15.750	45.77
15.800	46.09
15.850	45.85
15.900	40.50
15.950	46.74
16.000	55.97
16.050	51.79
16.100	58.44
16.150	61.23
16.200	70.13
16.250	76.14
16.300	79.45
16.350	82.36
16.400	73.35
16.450	70.68
16.500	62.74
16.550	53.14
16.600	49.51
16.650	52.77
16.700	51.01
16.750	46.15
16.800	46.22
16.850	45.54
16.900	50.03
16.950	48.28
17.000	47.23
17.050	43.23
17.100	42.76
17.150	48.30
17.200	50.32
17.250	38.01
17.300	41.17
17.350	47.48
17.400	45.08
17.450	43.19
17.500	47.85
17.550	42.38
17.600	48.83
17.650	45.32
17.700	51.51
17.750	46.75
17.800	50.69
17.850	47.71
17.900	47.96
17.950	52.00
18.000	58.80
18.050	61.94
18.100	79.73
18.150	88.71
18.200	93.15
18.250	100.15
18.300	96.46
18.350	85.61
18.400	77.07
18.450	65.56
18.500	59.58
18.550	51.48
18.600	53.19
18.650	46.77
18.700	45.39
18.750	48.30
18.800	43.67
18.850	48.72
18.900	50.10
18.950	48.31
19.000	43.05
19.050	43.83
19.100	46.76
19.150	44.45
19.200	48.78
19.250	48.74
19.300	47.92
19.350	49.21
19.400	42.29
19.450	42.83
19.500	46.15
19.550	49.53
19.600	41.91
19.650	43.77
19.700	45.77
19.750	44.06
19.800	38.17
19.850	42.73
19.900	42.99
19.950	43.19
20.000	41.40
20.050	43.50
20.100	38.18
20.150	41.59
20.200	42.59
20.250	43.96
20.300	46.26
20.350	42.40
20.400	45.51
20.450	43.20
20.500	40.26
20.550	44.47
20.600	45.25
20.650	48.07
20.700	43.82
20.750	44.89
20.800	47.18
20.850	44.51
20.900	39.61
20.950	42.16
21.000	46.02
21.050	43.75
21.100	45.33
21.150	47.14
21.200	44.73
21.250	44.46
21.300	43.65
21.350	44.76
21.400	43.69
21.450	45.52
21.500	43.42
21.550	44.12
21.600	38.34
21.650	43.73
21.700	41.65
21.750	42.24
21.800	43.37
21.850	43.35
21.900	46.78
21.950	45.22
22.000	43.71
22.050	41.59
22.100	38.30
22.150	44.36
22.200	49.57
22.250	40.93
22.300	47.46
22.350	43.32
22.400	42.69
22.450	49.09
22.500	47.14
22.550	43.66
22.600	46.79
22.650	43.53
22.700	49.57
22.750	52.12
22.800	47.38
22.850	56.68
22.900	56.71
22.950	65.12
23.000	75.94
23.050	83.36
23.100	84.22
23.150	86.50
23.200	79.38
23.250	72.25
23.300	64.90
23.350	61.68
23.400	55.36
23.450	48.21
23.500	47.62
23.550	49.84
23.600	45.37
23.650	39.87
23.700	44.01
23.750	43.56
23.800	45.21
23.850	42.57
23.900	41.88
23.950	43.00
24.000	41.17
24.050	48.56
24.100	46.19
24.150	39.16
24.200	43.74
24.250	47.32
24.300	45.93
24.350	44.66
24.400	43.95
24.450	41.99
24.500	40.52
24.550	44.22
24.600	44.74
24.650	45.76
24.700	46.21
24.750	45.80
24.800	39.35
24.850	39.99
24.900	46.62
24.950	46.55
25.000	41.65
25.050	41.66
25.100	44.30
25.150	39.89
25.200	42.01
25.250	45.44
25.300	43.12
25.350	45.65
25.400	40.48
25.450	46.46
25.500	49.75
25.550	42.19
25.600	46.15
25.650	40.80
25.700	41.65
25.750	46.28
25.800	44.21
25.850	42.67
25.900	44.83
25.950	40.67
26.000	44.38
26.050	48.32
26.100	46.79
26.150	47.02
26.200	45.64
26.250	49.23
26.300	40.59
26.350	42.26
26.400	47.56
26.450	50.34
26.500	47.21
26.550	43.50
26.600	45.12
26.650	45.87
26.700	51.14
26.750	50.75
26.800	49.66
26.850	49.76
26.900	41.35
26.950	43.51
27.000	47.03
27.050	46.85
27.100	51.82
27.150	50.52
27.200	49.50
27.250	50.29
27.300	49.10
27.350	49.53
27.400	48.83
27.450	51.34
27.500	48.55
27.550	55.76
27.600	53.03
27.650	55.12
27.700	54.48
27.750	54.51
27.800	59.65
27.850	62.45
27.900	65.03
27.950	73.92
28.000	74.09
28.050	79.39
28.100	93.16
28.150	107.33
28.200	139.79
28.250	180.85
28.300	253.35
28.350	366.30
28.400	508.01
28.450	650.92
28.500	772.76
28.550	780.19
28.600	687.05
28.650	538.41
28.700	392.90
28.750	272.34
28.800	198.43
28.850	139.68
28.900	106.05
28.950	96.38
29.000	81.80
29.050	73.74
29.100	74.28
29.150	65.81
29.200	66.68
29.250	62.83
29.300	59.13
29.350	56.53
29.400	54.16
29.450	66.56
29.500	67.40
29.550	70.61
29.600	79.42
29.650	92.47
29.700	106.24
29.750	121.68
29.800	123.68
29.850	120.27
29.900	99.28
29.950	85.70
30.000	74.33
30.050	68.22
30.100	61.39
30.150	52.50
30.200	51.15
30.250	49.01
30.300	49.11
30.350	49.71
30.400	49.54
30.450	48.44
30.500	53.22
30.550	46.19
30.600	52.87
30.650	44.84
30.700	45.42
30.750	47.97
30.800	55.39
30.850	46.56
30.900	48.15
30.950	39.19
31.000	48.88
31.050	47.66
31.100	51.29
31.150	54.22
31.200	49.68
31.250	49.10
31.300	60.64
31.350	56.89
31.400	61.61
31.450	62.60
31.500	68.13
31.550	70.49
31.600	78.36
