2Theta	Intensity
10.000	45.80
10.050	47.84
10.100	45.97
10.150	44.34
10.200	52.53
10.250	47.49
10.300	48.17
10.350	42.70
10.400	45.35
10.450	44.72
10.500	44.93
10.550	44.00
10.600	49.04
10.650	45.16
10.700	51.01
10.750	47.17
10.800	45.29
10.850	44.67
10.900	39.45
10.950	48.26
11.000	39.77
11.050	47.31
11.100	45.87
11.150	45.80
11.200	48.07
11.250	47.98
11.300	44.06
11.350	49.37
11.400	44.64
11.450	46.37
11.500	46.94
11.550	48.35
11.600	47.90
11.650	48.38
11.700	47.09
11.750	41.85
11.800	45.24
11.850	48.34
11.900	39.42
11.950	44.10
12.000	42.15
12.050	49.77
12.100	47.66
12.150	44.39
12.200	50.42
12.250	45.46
12.300	50.00
12.350	44.90
12.400	45.07
12.450	43.93
12.500	49.95
12.550	47.61
12.600	45.62
12.650	46.30
12.700	47.46
12.750	46.59
12.800	55.01
12.850	47.93
12.900	48.17
12.950	44.67
13.000	44.67
13.050	45.03
13.100	41.00
13.150	46.33
13.200	44.51
13.250	42.76
13.300	45.73
13.350	47.11
13.400	47.01
13.450	48.02
13.500	39.65
13.550	44.20
13.600	44.47
13.650	44.44
13.700	47.79
13.750	39.25
13.800	44.93
13.850	44.06
13.900	51.99
13.950	42.28
14.000	44.54
14.050	48.96
14.100	40.58
14.150	50.89
14.200	47.42
14.250	44.98
14.300	49.27
14.350	45.57
14.400	40.57
14.450	43.37
14.500	42.18
14.550	46.75
14.600	47.46
14.650	44.19
14.700	44.95
14.750	47.75
14.800	42.82
14.850	49.49
14.900	46.11
14.950	44.91
15.000	41.45
15.050	46.11
15.100	46.75
15.150	43.51
15.200	48.42
15.250	45.55
15.300	47.13
15.350	48.20
15.400	37.30
15.450	42.47
15.500	46.92
15.550	41.57
15.600	45.68
15.650	52.60
15.700	46.07
15.750	47.32
15.800	46.77
15.850	47.09
15.900	43.41
15.950	47.85
16.000	54.51
16.050	53.40
16.100	59.41
16.150	63.36
16.200	72.37
16.250	73.37
16.300	77.39
16.350	73.14
16.400	70.96
16.450	72.63
16.500	61.63
16.550	55.65
16.600	48.25
16.650	51.19
16.700	48.05
16.750	44.67
16.800	44.72
16.850	48.19
16.900	47.97
16.950	42.63
17.000	49.77
17.050	45.34
17.100	48.42
17.150	43.15
17.200	42.79
17.250	47.92
17.300	47.85
17.350	45.81
17.400	43.73
17.450	42.90
17.500	43.54
17.550	41.91
17.600	49.58
17.650	48.96
17.700	46.93
17.750	50.14
17.800	44.35
17.850	48.98
17.900	51.28
17.950	58.89
18.000	62.54
18.050	67.12
18.100	73.71
18.150	86.00
18.200	93.70
18.250	96.20
18.300	86.21
18.350	88.09
18.400	77.30
18.450	72.74
18.500	55.99
18.550	49.26
18.600	51.18
18.650	50.09
18.700	51.65
18.750	48.77
18.800	45.93
18.850	41.24
18.900	47.42
18.950	47.45
19.000	43.84
19.050	42.20
19.100	44.23
19.150	48.05
19.200	41.63
19.250	47.53
19.300	46.54
19.350	50.54
19.400	49.35
19.450	41.88
19.500	41.76
19.550	46.44
19.600	46.25
19.650	43.98
19.700	37.99
19.750	41.74
19.800	48.80
19.850	44.95
