2Theta	Intensity
20.000	63.88
20.050	62.00
20.100	64.39
20.150	67.04
20.200	61.79
20.250	61.82
20.300	67.28
20.350	64.88
20.400	61.19
20.450	64.25
20.500	61.26
20.550	61.28
20.600	63.43
20.650	56.99
20.700	57.58
20.750	61.09
20.800	59.77
20.850	63.77
20.900	60.13
20.950	58.65
21.000	67.31
21.050	62.26
21.100	63.16
21.150	58.71
21.200	61.38
21.250	63.37
21.300	59.61
21.350	64.21
21.400	61.31
21.450	62.26
21.500	61.36
21.550	68.74
21.600	63.17
21.650	60.07
21.700	65.73
21.750	59.63
21.800	63.94
21.850	57.46
21.900	59.38
21.950	63.98
22.000	65.63
22.050	63.95
22.100	63.12
22.150	62.58
22.200	59.08
22.250	61.38
22.300	62.18
22.350	66.76
22.400	64.64
22.450	58.35
22.500	64.63
22.550	62.53
22.600	61.68
22.650	65.57
22.700	66.85
22.750	66.58
22.800	61.29
22.850	62.90
22.900	64.85
22.950	66.81
23.000	62.47
23.050	63.37
23.100	60.63
23.150	60.39
23.200	66.44
23.250	68.09
23.300	63.83
23.350	67.08
23.400	65.18
23.450	62.18
23.500	65.23
23.550	68.78
23.600	64.08
23.650	68.91
23.700	56.38
23.750	66.73
23.800	64.55
23.850	63.41
23.900	64.61
23.950	58.39
24.000	63.72
24.050	65.47
24.100	68.86
24.150	62.89
24.200	62.05
24.250	62.99
24.300	67.26
24.350	65.53
24.400	62.98
24.450	66.13
24.500	64.90
24.550	67.54
24.600	62.55
24.650	63.70
24.700	63.53
24.750	60.33
24.800	65.64
24.850	65.55
24.900	64.81
24.950	64.11
25.000	60.59
25.050	63.60
25.100	63.86
25.150	62.50
25.200	64.44
25.250	66.16
25.300	70.63
25.350	65.52
25.400	65.79
25.450	64.82
25.500	59.31
25.550	65.01
25.600	65.29
25.650	72.52
25.700	64.57
25.750	66.08
25.800	65.09
25.850	61.71
25.900	68.67
25.950	67.52
26.000	67.66
26.050	62.58
26.100	69.53
26.150	61.14
26.200	67.13
26.250	71.96
26.300	62.44
26.350	63.74
26.400	65.75
26.450	63.97
26.500	60.85
26.550	65.73
26.600	62.35
26.650	66.98
26.700	62.83
26.750	70.25
26.800	63.28
26.850	64.68
26.900	68.11
26.950	62.00
27.000	66.39
27.050	69.65
27.100	60.93
27.150	66.33
27.200	66.57
27.250	68.16
27.300	62.12
27.350	61.89
27.400	67.44
27.450	66.79
27.500	66.67
27.550	66.98
27.600	63.92
27.650	66.68
27.700	66.88
27.750	63.88
27.800	71.64
27.850	67.48
27.900	62.51
27.950	68.07
28.000	63.20
28.050	68.50
28.100	69.64
28.150	63.72
28.200	69.09
28.250	67.46
28.300	68.71
28.350	71.95
28.400	65.54
28.450	64.04
28.500	63.65
28.550	63.89
28.600	66.13
28.650	67.40
28.700	67.23
28.750	68.90
28.800	66.48
28.850	70.82
28.900	65.68
28.950	74.66
29.000	68.39
29.050	63.96
29.100	63.34
29.150	68.02
29.200	65.92
29.250	68.75
29.300	68.05
29.350	66.43
29.400	64.13
29.450	62.14
29.500	65.37
29.550	69.29
29.600	67.39
29.650	63.03
29.700	67.30
29.750	67.96
29.800	64.17
29.850	67.30
29.900	67.03
