2Theta	Intensity
20.000	60.89
20.050	62.85
20.100	64.35
20.150	62.64
20.200	62.64
20.250	60.07
20.300	60.23
20.350	57.67
20.400	68.73
20.450	58.28
20.500	60.23
20.550	60.17
20.600	65.84
20.650	61.70
20.700	67.13
20.750	60.43
20.800	63.79
20.850	59.91
20.900	70.37
20.950	58.73
21.000	64.00
21.050	65.16
21.100	64.41
21.150	62.34
21.200	62.56
21.250	63.19
21.300	62.55
21.350	66.47
21.400	70.85
21.450	61.19
21.500	58.37
21.550	62.88
21.600	72.25
21.650	60.43
21.700	69.01
21.750	69.17
21.800	61.38
21.850	65.34
21.900	69.07
21.950	62.07
22.000	62.71
22.050	61.41
22.100	59.92
22.150	61.22
22.200	59.23
22.250	63.66
22.300	60.87
22.350	64.41
22.400	58.17
22.450	64.80
22.500	66.58
22.550	56.71
22.600	65.02
22.650	68.04
22.700	59.53
22.750	69.64
22.800	65.28
22.850	61.37
22.900	63.67
22.950	65.84
23.000	64.18
23.050	65.82
23.100	60.74
23.150	64.57
23.200	59.06
23.250	63.64
23.300	60.89
23.350	61.50
23.400	68.43
23.450	67.95
23.500	66.28
23.550	60.35
23.600	63.09
23.650	68.47
23.700	64.74
23.750	72.39
23.800	65.67
23.850	64.99
23.900	63.26
23.950	64.83
24.000	63.85
24.050	66.89
24.100	67.78
24.150	61.70
24.200	59.82
24.250	58.08
24.300	66.30
24.350	60.69
24.400	57.04
24.450	65.95
24.500	73.34
24.550	64.62
24.600	67.60
24.650	64.97
24.700	64.36
24.750	67.95
24.800	63.74
24.850	65.71
24.900	65.93
24.950	62.49
25.000	68.32
25.050	64.26
25.100	62.25
25.150	66.79
25.200	61.79
25.250	65.06
25.300	64.95
25.350	68.80
25.400	66.69
25.450	64.96
25.500	67.93
25.550	69.96
25.600	67.07
25.650	65.17
25.700	60.57
25.750	61.45
25.800	64.13
25.850	63.09
25.900	64.59
25.950	65.47
26.000	67.14
26.050	65.07
26.100	67.04
26.150	65.58
26.200	58.46
26.250	62.11
26.300	64.92
26.350	61.21
26.400	67.56
26.450	70.84
26.500	69.77
26.550	64.78
26.600	70.77
26.650	66.09
26.700	64.41
26.750	63.47
26.800	64.58
26.850	64.30
26.900	66.27
26.950	66.26
27.000	65.73
27.050	67.27
27.100	69.93
27.150	69.11
27.200	60.61
27.250	56.89
27.300	69.11
27.350	61.08
27.400	65.10
27.450	61.81
27.500	59.62
27.550	67.84
27.600	68.63
27.650	63.97
27.700	56.94
27.750	64.12
27.800	67.42
27.850	60.89
27.900	66.73
27.950	66.06
28.000	68.16
28.050	66.57
28.100	62.77
28.150	70.38
28.200	65.66
28.250	66.14
28.300	62.99
28.350	64.72
28.400	63.20
28.450	65.71
28.500	72.32
28.550	61.55
28.600	60.72
28.650	71.54
28.700	65.68
28.750	64.09
28.800	70.09
28.850	64.35
28.900	72.88
28.950	68.88
29.000	64.82
29.050	74.10
29.100	64.45
29.150	69.18
29.200	67.65
29.250	71.18
29.300	72.11
29.350	66.77
29.400	64.04
29.450	68.31
29.500	64.35
29.550	73.78
29.600	67.23
29.650	65.50
29.700	67.44
29.750	62.10
29.800	63.43
29.850	71.05
29.900	64.57
29.950	63.22
30.000	68.78
30.050	71.08
30.100	69.46
30.150	70.45
30.200	64.33
30.250	62.02
30.300	72.27
30.350	65.91
30.400	66.18
