2Theta	Intensity
20.000	60.25
20.050	61.38
20.100	69.18
20.150	67.88
20.200	57.34
20.250	65.89
20.300	65.84
20.350	58.03
20.400	65.92
20.450	68.83
20.500	58.21
20.550	59.06
20.600	66.82
20.650	63.87
20.700	65.01
20.750	64.20
20.800	64.42
20.850	57.58
20.900	67.10
20.950	67.62
21.000	62.05
21.050	62.82
21.100	56.89
21.150	65.10
21.200	65.36
21.250	62.84
21.300	67.62
21.350	61.81
21.400	65.43
21.450	59.12
21.500	63.13
21.550	62.55
21.600	64.18
21.650	61.82
21.700	62.80
21.750	66.66
21.800	61.63
21.850	56.98
21.900	70.43
21.950	68.98
22.000	58.31
22.050	66.26
22.100	61.52
22.150	64.61
22.200	64.76
22.250	62.67
22.300	60.50
22.350	60.89
22.400	60.02
22.450	60.38
22.500	63.46
22.550	60.89
22.600	66.51
22.650	69.76
22.700	61.51
22.750	64.82
22.800	65.88
22.850	65.80
22.900	64.24
22.950	66.93
23.000	65.91
23.050	59.06
23.100	67.51
23.150	67.61
23.200	61.03
23.250	64.26
23.300	66.87
23.350	63.32
23.400	68.47
23.450	73.66
23.500	61.09
23.550	58.73
23.600	65.50
23.650	67.19
23.700	63.41
23.750	70.17
23.800	59.03
23.850	67.18
23.900	62.01
23.950	71.33
24.000	72.45
24.050	61.44
24.100	62.33
24.150	67.99
24.200	63.03
24.250	64.42
24.300	64.73
24.350	56.97
24.400	64.62
24.450	61.94
24.500	62.75
24.550	70.52
24.600	59.75
24.650	68.05
24.700	63.71
24.750	63.73
24.800	68.03
24.850	66.26
24.900	67.20
24.950	68.82
25.000	63.64
25.050	62.54
25.100	60.68
25.150	61.74
25.200	76.86
25.250	70.07
25.300	59.71
25.350	59.85
25.400	67.09
25.450	67.38
25.500	67.41
25.550	64.22
25.600	64.76
25.650	66.60
25.700	65.66
25.750	56.46
25.800	64.44
25.850	61.98
25.900	66.11
25.950	77.38
26.000	66.93
26.050	64.24
26.100	69.20
26.150	67.47
26.200	67.25
26.250	68.02
26.300	73.84
26.350	61.12
26.400	67.56
26.450	61.99
26.500	67.94
26.550	62.07
26.600	64.10
26.650	64.62
26.700	69.73
26.750	69.53
26.800	60.90
26.850	66.13
26.900	63.10
26.950	60.93
27.000	65.13
27.050	64.79
27.100	75.76
27.150	67.82
27.200	60.60
27.250	63.89
27.300	70.26
27.350	74.56
27.400	59.90
27.450	58.76
27.500	73.79
27.550	67.90
27.600	62.91
27.650	68.56
27.700	55.91
27.750	66.51
27.800	67.85
27.850	70.28
27.900	62.57
27.950	67.02
28.000	63.02
28.050	67.80
28.100	63.25
28.150	65.26
28.200	62.97
28.250	69.62
28.300	70.52
28.350	66.23
28.400	67.41
28.450	61.56
28.500	66.26
28.550	67.37
28.600	78.19
28.650	63.41
28.700	73.89
28.750	72.22
28.800	69.59
28.850	75.78
28.900	70.56
28.950	71.04
29.000	69.80
29.050	75.62
29.100	76.14
29.150	70.86
29.200	70.70
29.250	79.42
29.300	83.59
29.350	95.91
29.400	113.17
29.450	119.87
29.500	133.33
29.550	139.16
29.600	138.36
29.650	114.91
29.700	108.05
29.750	98.95
29.800	93.12
29.850	79.40
29.900	69.34
29.950	76.53
30.000	69.82
30.050	66.55
30.100	68.11
30.150	69.36
30.200	67.30
30.250	60.60
30.300	72.77
30.350	74.08
30.400	71.43
30.450	64.14
30.500	67.78
30.550	68.47
30.600	70.82
30.650	71.03
30.700	65.37
30.750	68.60
30.800	70.06
30.850	74.03
30.900	71.00
30.950	71.33
31.000	68.49
31.050	73.79
31.100	69.78
31.150	64.70
31.200	73.75
31.250	70.94
31.300	66.38
31.350	66.24
31.400	69.35
31.450	70.03
31.500	68.98
31.550	69.45
31.600	75.01
31.650	72.52
31.700	69.01
31.750	72.03
31.800	64.15
31.850	69.90
31.900	75.56
31.950	67.47
32.000	64.98
32.050	65.78
32.100	64.06
32.150	65.30
32.200	66.99
32.250	62.87
32.300	68.59
32.350	72.16
32.400	64.95
32.450	74.69
